transition_id,from_state,command,to_state,actor,preconditions,transactional_writes,event_type,idempotency,side_effects_allowed,side_effects_forbidden,retry_semantics,terminal_protection
TR-01,CREATED,enqueue,QUEUED,control,"track exists; job in CREATED","jobs.state=QUEUED; append JOB_ENQUEUED",JOB_ENQUEUED,idempotent-by-state(already QUEUED=no-op),queue notification,duplicate job creation,no,
TR-02,QUEUED,claim,RUNNING,worker,"state=QUEUED; no valid lease","jobs.state=RUNNING; lease row (owner/expires); attempt row; append JOB_CLAIMED",JOB_CLAIMED,duplicate claim by another worker=fail(one owner),execution start,re-claim without release,no,
TR-03,RUNNING,heartbeat,RUNNING,lease-owner,"lease valid and owned by caller","lease.heartbeat_at/expires_at extended; no state change; append LEASE_HEARTBEAT(optional)",LEASE_HEARTBEAT,idempotent,ownership renewal,state change or business result change,no,
TR-04,RUNNING,progress,RUNNING,lease-owner,"lease valid","jobs.stage updated (descriptive only); no event required(optional STAGE_CHANGED)",STAGE_CHANGED,idempotent,stage description,state change,no,
TR-05,RUNNING,verify,VERIFYING,lease-owner,"lease valid; artifact registered","jobs.state=VERIFYING; append JOB_VERIFYING",JOB_VERIFYING,idempotent,verification run,skip verification when required,no,
TR-06,VERIFYING,complete,READY,control,"ready_object_id registered; required verification evidence exists","jobs.state=READY; ready_object_id set; lease released; append JOB_READY",JOB_READY,idempotent-by-finished(job already READY=no-op),playback delivery,verify skip when required,no,READY protected
TR-07,RUNNING,fail,RETRY_WAIT,control,"failure retryable; attempts < max","jobs.state=RETRY_WAIT; failure_code; attempt outcome=failed; append JOB_FAILED_TRANSIENT",JOB_FAILED_TRANSIENT,idempotent-by-failure-record,backoff scheduling,auto-requeue without policy,transient->retry,
TR-08,RUNNING,fail,FAILED,control,"failure permanent or attempts>=max","jobs.state=FAILED; attempt outcome; append JOB_FAILED",JOB_FAILED,idempotent-by-terminal,report/escalate,retry,terminal,FAILED protected
TR-09,VERIFYING,fail,FAILED,control,verification failed or budget exhausted,"jobs.state=FAILED; append JOB_FAILED",JOB_FAILED,idempotent-by-terminal,report,retry,terminal,FAILED protected
TR-10,RETRY_WAIT,requeue,QUEUED,control-recovery,"backoff elapsed; attempts<max","jobs.state=QUEUED; append JOB_REQUEUED",JOB_REQUEUED,idempotent,claim again,manual double enqueue,transient,,
TR-11,CREATED,cancel,CANCELED,control-user,"job not terminal","jobs.state=CANCELED; append JOB_CANCELED",JOB_CANCELED,idempotent-by-terminal,cancel effects,new execution,no,terminal
TR-12,QUEUED,cancel,CANCELED,control-user,"job not terminal","jobs.state=CANCELED; append JOB_CANCELED",JOB_CANCELED,idempotent-by-terminal,remove from queue,claim,no,terminal
TR-13,RUNNING,cancel,CANCELED,control-admin,"job not terminal; admin authority","jobs.state=CANCELED; lease released; append JOB_CANCELED",JOB_CANCELED,idempotent-by-terminal,notify worker(stop),worker commit after cancel,no,terminal
TR-14,RETRY_WAIT,cancel,CANCELED,control-user,"job not terminal","jobs.state=CANCELED; append JOB_CANCELED",JOB_CANCELED,idempotent-by-terminal,,,no,terminal
TR-15,VERIFYING,cancel,CANCELED,control-admin,"job not terminal; admin authority","jobs.state=CANCELED; append JOB_CANCELED",JOB_CANCELED,idempotent-by-terminal,,,no,terminal
TR-16,*,reset,<restore>,control-admin,"explicit reset/replay policy; human authority","restore from snapshot; append JOB_RESET",JOB_RESET,unique-per-reset,replay,ordinary worker,no,terminal protection bypass only via policy
