id,domain,capability,claimed_state,observed_state,main_status,canonical_relevance,code_ref,runtime_ref,evidence_ref,authority_conflict,confidence,notes
TT-001,repo,GitHub main 分支,"main=fa88b0b9, Ear of AI identity","fa88b0b9 (2026-08-08), identity=Ear of AI",VERIFIED,CURRENT,origin/main,origin/main,git rev-parse origin/main,true,HIGH,锚点一致
TT-002,repo,本地重建分支,"reconstruction-first 已完成","98f7b96e, 领先 154 commits",IMPLEMENTED_NOT_MERGED,CURRENT,codex/moodify-classic-reconstruction-001,本地工作树,git rev-list origin/main..HEAD,true,HIGH,全部重建工作未进 main
TT-003,repo,Classic Reconstruction Constitution v1.0,"LIVE 权威","docs 权威, Supersedes Ear-of-AI",IMPLEMENTED_NOT_MERGED,CURRENT,docs/CLASSIC_RECONSTRUCTION_CONSTITUTION.md,,99c9efa2,true,HIGH,与 main README 冲突
TT-004,repo,moodify-core-package 引擎,"692+ 测试绿","src 70+ 模块; 81 test 文件",VERIFIED,CURRENT,moodify-core-package/,,各包 TEST_RESULTS,false,HIGH,未在本扫描重跑
TT-005,repo,REPOSITORY_STATUS.md,"当前状态文档","baseline 0b355e7 / Ear of AI",OBSOLETE,LEGACY,docs/REPOSITORY_STATUS.md,,,true,HIGH,落后于代码
TT-006,repo,v01_pipeline 主链,"canonical mainline","杭州 API health mode=v01",DEPLOYED_NOT_VERIFIED,CURRENT,src/moodify/v01_pipeline.py,杭州:8000,curl /health,false,MEDIUM,无生产流量证据
TT-007,repo,orchestration/workflow_engine,"LEGACY","LEGACY 声明",OBSOLETE,LEGACY,src/moodify/orchestration/,,REPOSITORY_STATUS.md,false,HIGH,
TT-008,repo,data_factory,"10 曲 pilot 全成功","Data Protocol v1 冻结",VERIFIED,CURRENT,src/moodify/data_factory/,杭州 worker,artifacts/mfy_24x7_data_pipeline_001,false,HIGH,
TT-009,repo,node 队列 worker,"双节点部署","SQLite 队列 LA+HZ",DEPLOYED_NOT_VERIFIED,CURRENT,src/moodify/node/,LA/杭州,raw_scan LA/HZ,false,HIGH,队列近空
TT-010,repo,reconstruction_objective v0.1,"P04 完成","evidence-gated 规划",IMPLEMENTED_NOT_MERGED,CURRENT,src/moodify/reconstruction_objective/,,12aaabae,false,HIGH,
TT-011,repo,era_diagnostic v0.1,"P03 完成","年代诊断",IMPLEMENTED_NOT_MERGED,EXPERIMENTAL,src/moodify/era_diagnostic/,,b7e44d0b,false,HIGH,
TT-012,repo,identity_guard v0.1,"P05 完成","六维 veto",IMPLEMENTED_NOT_MERGED,CURRENT,src/moodify/identity_guard/,,36f2a721,false,HIGH,
TT-013,repo,reconstruction_factory v0.1,"P07 完成","rights-gated 学习工厂",IMPLEMENTED_NOT_MERGED,EXPERIMENTAL,src/moodify/reconstruction_factory/,,787d51af,false,HIGH,
TT-014,repo,MAMSE-001..016,"001-012 ACCEPTED","013-016 仅结构",VERIFIED,EXPERIMENTAL,src/moodify/auditory,local,artifacts/mamse_001..016,false,HIGH,
TT-015,repo,stems lalal 集成,"audiolla 部署","代理健康无自动调用",DEPLOYED_NOT_VERIFIED,UNCLEAR,src/moodify/stems,LA 容器,72c47c4d,false,MEDIUM,
TT-016,repo,intervention 原语,"71 包完成","3 原语负对照 5/5 旁路",IMPLEMENTED_NOT_MERGED,EXPERIMENTAL,src/moodify/intervention/,,55bd01d0,false,HIGH,未编译进播放链
TT-017,repo,算法评审器,"10/10 pilot","确定性技术排名",VERIFIED,CURRENT,src/moodify/data_factory/algorithmic_review,,6b5592e,false,HIGH,
TT-018,repo,moodify.contracts,"四契约","已吸收进分支",IMPLEMENTED_NOT_MERGED,CURRENT,src/moodify/contracts/,,af0e1d41,false,HIGH,
TT-019,repo,盲听验证,"71 candidates 冻结","人类会话 SKIPPED",IMPLEMENTED_NOT_MERGED,EXPERIMENTAL,src/moodify/listening/,,7bf0f594,false,HIGH,
TT-020,repo,CI ci.yml,"core 测试+ruff","PR #21 CI success",VERIFIED,CURRENT,.github/workflows/ci.yml,github-actions,gh run list,false,HIGH,
TT-021,repo,Temporal Texture Guard,"持续 failure","workflow failure",DEPLOYED_NOT_VERIFIED,UNCLEAR,.github/workflows/moodify-temporal-texture.yml,github-actions,gh run list,false,HIGH,
TT-022,repo,Deploy workflow,"tag deploy failure","v1.0.0-data-foundation failure",UNKNOWN,UNCLEAR,.github/workflows/deploy.yml,github-actions,gh run list,false,MEDIUM,
TT-023,repo,PR #21,"协议 KEEP","OPEN DRAFT 未 merge",IMPLEMENTED_NOT_MERGED,UNCLEAR,codex/mfy-data-factory-001,,docs/PR_DISPOSITION.md,true,HIGH,与重建方向关系未裁决
TT-024,repo,补丁包 01-73,"多数已交付","部分计划壳",VERIFIED,UNCLEAR,补丁包/,本地,artifacts/,false,MEDIUM,逐包见 02 报告
TT-025,repo,apps/android Ear 工作台,"JVM 46/46 设备 7/7","设备测试通过",VERIFIED,CURRENT,apps/android,,23b13d35,false,HIGH,
TT-026,repo,Moodify Music Android 3.1,"APK 发布","播放器验证",VERIFIED,CURRENT,apps/music-android,,deliverables/releases,false,HIGH,
TT-027,repo,apps/music-web PWA,"Cloudflare 站点","wrangler 痕迹",IMPLEMENTED_NOT_MERGED,UNCLEAR,apps/music-web,,,false,MEDIUM,
