capability,status,runtime_api,implementation_scope,installer_required,security_notes,evidence
Media Keys,UNKNOWN,,,,,
System Media Controls / SMTC,UNKNOWN,,,,,
Playback State Projection,UNKNOWN,,,,,
Metadata Projection,UNKNOWN,,,,,
Timeline Position,UNKNOWN,,,,,
System Seek,UNKNOWN,,,,,
Previous Next Controls,UNKNOWN,,,,,
Taskbar Identity,UNKNOWN,,,,,
Tray,UNKNOWN,,,,,
Single Instance,UNKNOWN,,,,,
Second Instance Args,UNKNOWN,,,,,
Open File Event,UNKNOWN,,,,,
File Association Registration,UNKNOWN,,,,,
Lock-screen Media Metadata,UNKNOWN,,,,,
