status,path,domain_first_pass,action_first_pass,manual_action,canonical_target,evidence_tests,notes
M,.env.example,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,.github/workflows/moodify-temporal-texture.yml,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
M,.gitignore,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,.moodify/temporal_texture.toml,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,CHANGELOG.md,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,PROJECT_ROADMAP.md,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
M,README.md,UNKNOWN,HUMAN_DECISION,HUMAN_DECISION,unresolved,Requires manual classification in a scoped follow-up,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/README.md,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/build.gradle.kts,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/proguard-rules.pro,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/androidTest/java/com/moodify/app/i18n/LanguageSwitchTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/androidTest/java/com/moodify/app/ui/components/MiniPlayerGestureTest.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/AndroidManifest.xml,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/MainActivity.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/ApiModels.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/BaseUrlStore.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/ConnectionError.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/ConnectionRepository.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/CwcRepository.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/DemoProcessRepository.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/LocaleKit.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/LocaleStore.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/MoodifyApiClient.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/PlaybackManager.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/TokenStore.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/data/WorkLibrary.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/model/CreatorPass.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/MoodifyApp.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/MoodifyDrawer.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/components/MiniPlayer.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/components/MiniPlayerGestureLogic.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/components/MoodifyComponents.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/components/PlaybackBar.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/connection/ConnectionCard.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/connection/ConnectionViewModel.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CollaborationHubScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CopyrightCenterScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CreatorCenterScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CwcAuthScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CwcCenterScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CwcGiftScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/CwcIntroScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/DataCenterScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/HomeScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/NotificationCenterScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/NowPlayingScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/PlaceholderScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
A,apps/android/app/src/main/java/com/moodify/app/ui/screens/ProcessingHubScreen.kt,APPLICATION_ANDROID,REVIEW,REIMPLEMENT,apps/android,Keep UI/tests; bind to canonical API contract,First-pass decision; high-value subsystems are reviewed in companion reports.
