node_id,observed_identity,provider,region,primary_role,secondary_roles,forbidden_roles,capacity_limit,concurrency_limit,data_locality,failure_domain,recovery_owner,evidence_ref,decision_reason,revisit_trigger
NODE-001,"LA 103.144.246.242 (moodify-ear-runner, yisu-6a7bcb73aac20)",亿速云 Yisu,洛杉矶,CONTROL_API,"PLAYBACK_DELIVERY; CPU_WORKER; EXTERNAL_AUDIO_SERVICE","METADATA_DB; OBJECT_STORAGE","4 vCPU / 7.7GiB RAM / 98GB disk (76G 可用)",1 worker + 1 容器,"入: 外部用户/Android/杭州 API; 出: audiolla/lalal、杭州 API","nginx+cloudflared+moodify-api+music+bff+worker+audiolla 同机; 单点",人工(Codex+用户),raw_scan LA (E13/E15),"现状已承载对外 API/BFF/Ear API/worker/audiolla; 一节点一主责取 CONTROL_API (对外控制面), 其余为明确辅助",若 audiolla/worker 迁移或官网独立成部署单元
NODE-002,"杭州 120.55.191.146 (Aliyun ECS iZln9jrdhi9iv6Z)",阿里云,cn-hangzhou,CPU_WORKER,"CONTROL_API(内部数据 API); JOB_ORCHESTRATION(4 timers+SQLite)","PLAYBACK_DELIVERY; METADATA_DB; OBJECT_STORAGE","2 vCPU / 1.6GiB RAM / 40GB disk (23G 可用) + 2GiB swap",1 (LSM 并行=1),"入: 数据源/inbox; 出: /var/lib/moodify 本地 + PolarDB(目标)","数据工厂 worker 与内部 API 同机; swap 依赖",人工(Codex+用户),raw_scan HZ (E14/E16),"数据工厂 10-song pilot 全 SUCCEEDED 已实证; 主责=CPU_WORKER, 内部 API 为辅助",3-song pilot 前确认内存/swap 边界
NODE-003,"PolarDB MySQL pc-bp19502y46246gv6n 172.27.118.104",阿里云 PolarDB,cn-hangzhou,METADATA_DB,"","OBJECT_STORAGE; PLAYBACK_DELIVERY; CPU_WORKER","moodify_dev 19 表 ≈0 数据 (tracks 32 等)",1 (schema-only),"入: 杭州 API/worker(目标); 出: BFF/API 查询(目标)","moodify_dev 为唯一业务库; 当前无生产流量",人工(Codex+用户),"MOODIFY_CLOUD_CURRENT_STATE E18; 直接核验 BLOCKED E17","目标元数据权威库 (P03 设计 schema); 现状 schema-only 未接生产",P03 完成 schema 设计并验证连通
NODE-004,"PolarDB MySQL pc-bp1112f8t24wdta5t 172.27.118.106",阿里云 PolarDB,cn-hangzhou,RESERVE_UNUSED,"","METADATA_DB; OBJECT_STORAGE","空壳 0 表",,"无流量","空实例; 历史资源",人工,MOODIFY_CLOUD_CURRENT_STATE E18,"空壳历史实例; 保留不删除(资源堆积记录), 不承担职责",P03/P04 决定释放或迁移
NODE-005,"PolarDB PG pc-uf65m4xqwst72vq5a 101.133.107.206",阿里云 PolarDB,上海,RESERVE_UNUSED,"","METADATA_DB; OBJECT_STORAGE","在线未用(内容未确认)",,"无流量","在线未用; 公网 5432 白名单仅杭州",人工,MOODIFY_CLOUD_CURRENT_STATE E18,"在线未用; 不纳入当前主链",P04 数据权威决策时评估
NODE-006,"OSS (NOT_PROVISIONED)",阿里云 OSS(计划),cn-hangzhou(计划),OBJECT_STORAGE,"","METADATA_DB; JOB_ORCHESTRATION","NOT_PROVISIONED; 无 bucket 无凭据",0,"目标: source/render/evidence 对象; 元数据进 PolarDB","未开通=无失败面(规划)",人工(Codex+用户),P00 TT-036 E18,"目标对象存储角色 (P03 设计); 当前 NOT_PROVISIONED, 图中标 PLANNED",P03 开通并设计 prefix 后
NODE-007,"audiolla 容器 (LA docker, psyb0t/audiolla)",自托管容器(LA),洛杉矶,EXTERNAL_AUDIO_SERVICE,"","OBJECT_STORAGE; METADATA_DB; PLAYBACK_DELIVERY","1 容器; 驻留 ~770MB RAM",1,"入: LA worker/API 调用; 出: LALAL.AI 云端 API (HTTPS)","与 LA 同机; 容器失败影响分离能力",人工(Codex+用户),raw_scan LA E13/E15; audiolla_cloud_deploy_001,"lalal.ai 分离的本地代理; 已部署健康但无自动 pipeline 调用 (CONNECTED_UNTESTED)",接入自动 pipeline (P05) 后
NODE-008,"Android Moodify Music 3.1 (apps/music-android)",本地构建,本地,PLAYBACK_DELIVERY,"","CONTROL_API; METADATA_DB; OBJECT_STORAGE; JOB_ORCHESTRATION","APK 3.1.0 已发布; 本地+URL 播放",1 设备,"入: 本地文件 + LA 静态 URL; 出: 无上传","客户端失败影响个别用户; 无账户体系",用户侧,deliverables/releases E26; TT-026,"对外产品面客户端; 只做 PLAY; 不持长期云凭据(目标 R7)",接入账户/上传功能 (P05/P06)
NODE-009,"Cloudflare DNS+隧道 (LA cloudflared)",Cloudflare,全球,PLAYBACK_DELIVERY,"OBSERVABILITY(边界)","CONTROL_API","免费计划; 隧道终止 HTTPS",1 隧道,"入: 公网 HTTP/HTTPS; 出: LA nginx","隧道失败=官网/平台不可达(LA 同机)",Cloudflare 控制台+人工,raw_scan LA E13,"公网边界组件; 现状已在用; 不是独立计算节点",迁移/多域/生产化时
NODE-010,"SQLite 队列 (LA node.sqlite3 + 杭州 data_node)",本地文件,LA/杭州,JOB_ORCHESTRATION,"","METADATA_DB; OBJECT_STORAGE","LA 16KB 近空; 杭州历史 pilot 数据",1 worker/机,"入: API job 写入; 出: worker 消费","SQLite 文件损坏=队列丢失; 当前近空",人工+24x7 recover_interrupted_jobs,raw_scan LA/HZ E13/E14; TT-037,"现状队列实现; 保持 SQLite 不引 Redis (R6 无必要性); 不构成第二套 Job authority",P04 控制面任务评估 DB-backed 迁移
