id,command_or_event,pre_state,expected_post_state,notes,status,evidence
C001,load(track),IDLE,LOADING,resolve source,TODO,
C002,load ready,LOADING,READY,metadata available,TODO,
C003,play,READY,PLAYING,engine accepted,TODO,
C004,play,PAUSED,PLAYING,resume,TODO,
C005,pause,PLAYING,PAUSED,engine paused,TODO,
C006,toggle,PLAYING,PAUSED,deterministic,TODO,
C007,toggle,PAUSED,PLAYING,deterministic,TODO,
C008,seek(valid),PLAYING,PLAYING,position updated,TODO,
C009,seek(valid),PAUSED,PAUSED,position updated,TODO,
C010,setVolume,ANY,SAME_STATUS,volume updated,TODO,
C011,next,PLAYING,LOADING,next Track context,TODO,
C012,previous,PLAYING,LOADING,previous Track context,TODO,
C013,ended,PLAYING,LOADING or ENDED,next exists or final,TODO,
C014,error,LOADING,ERROR,safe failure,TODO,
C015,error,PLAYING,ERROR or safe-skip,policy explicit,TODO,
C016,late timeupdate,ANY,SAME,ignored if stale generation,TODO,
C017,late ended,ANY,SAME,ignored if stale generation,TODO,
C018,late error,ANY,SAME,ignored if stale generation,TODO,
