requirement_id,principle,requirement,status,confidence,code_evidence,test_evidence,runtime_evidence,risk,recommended_action,priority
ID-01,Identity,Canonical intent specification,PARTIAL,HIGH,"moodify-bridge/.../schemas.py:OnePointSpec","test_one_point.py exists but cannot collect under audited runtimes","Bridge schema is separate from core CLI","Competing schemas permit bypass","Adopt one versioned spec in the primary case model",P0
ID-02,Identity,Work identity represented,IMPLEMENTED,HIGH,"OnePointSpec.essence and source","schema tests present","Static schema trace","Low locally but not propagated","Preserve fields in canonical migration",P2
ID-03,Identity,must_preserve required,IMPLEMENTED,HIGH,"OnePointSpec.preserve_not_empty","test_empty_must_preserve_rejected exists","System Python can import schema; full Bridge path blocked by dependencies","Core path still bypasses it","Require spec ID in plan creation",P0
ID-04,Identity,must_avoid required,IMPLEMENTED,HIGH,"OnePointSpec.preserve_not_empty","test coverage exists","Core plan accepts only desired gain","Core path bypass","Require canonical constraints",P0
ID-05,Identity,Owner represented,PARTIAL,HIGH,"OnePointSpec.human_owner","Bridge tests","Not present in CLI-v2 plan/project response","No accountable approver","Bind owner and role to case",P0
ID-06,Identity,Confidence or uncertainty,ABSENT,HIGH,"No OnePointSpec confidence/scope field","No relevant test","Serialized CLI plan lacks field","Unsafe automation under ambiguity","Add confidence and uncertainty disposition",P1
ID-07,Identity,Permitted intervention scope,ABSENT,HIGH,"No canonical scope field","No relevant test","Arbitrary intent object accepted","Unbounded action interpretation","Add explicit scope and reject outside it",P0
ID-08,Identity,Constraints precede planning,CONTRADICTED,HIGH,"cli_v2.cmd_plan_create and app.generate_plan","CLI-v2 test creates plan without spec","Executable gain plan created without spec","Desired change bypasses identity","Make spec validation mandatory",P0
ID-09,Identity,Semantic conflict fail-closed,PARTIAL,HIGH,"services.detect_conflicts keyword pairs","Bridge conflict tests exist but environment cannot run","Static probes: loudness/dynamic and wide/mono detected; warmth/intimacy, HF/sibilance, transient/soft ignored","False negatives permit identity damage","Use explicit constraint-to-metric rules plus human review",P0
ID-10,Identity,Post-process preservation verification,ABSENT,HIGH,"No mapping from constraints to verification criteria","No test","CLI verify checks hashes/existence only","Preservation merely declared","Compile constraints into measurable/manual gates",P0
PB-01,Plan,Analysis separated from planning,PARTIAL,HIGH,"app.analyze_audio/generate_plan and v01 stages","v01 tests","Functions separate but not primary canonical lifecycle","Separation not enforceable","Unify under case state machine",P1
PB-02,Plan,Planning separated from execution,IMPLEMENTED,HIGH,"cli_v2 plan.create/run.execute","CLI-v2 closed-loop tests","Separate commands observed","Approval gap remains","Retain separation",P2
PB-03,Plan,Plan serializable,IMPLEMENTED,HIGH,"project.json plans","CLI-v2 test","Observed serialized plan","Missing contract fields","Version canonical plan schema",P1
PB-04,Plan,Complete plan contract,ABSENT,HIGH,"CLI plan has plan_id,intent,steps,dry_run,warnings","No completeness test","Observed field list","Cannot audit approval or reproduce engine","Add source/owner/versions/risks/criteria",P0
PB-05,Plan,Dry-run does not apply audio,IMPLEMENTED,HIGH,"cmd_run_execute rejects dry_run","CLI test","DRY_RUN_PLAN exit 2","Dry-run is only a flag, not simulation","Add exact command/capability preview",P2
PB-06,Plan,Unapproved apply prohibited,CONTRADICTED,HIGH,"cmd_run_execute has no approval check","CLI test normalizes this bypass","Unapproved apply exit 0 and status completed","Human authority violation","Enforce approved-plan token/digest",P0
PB-07,Plan,Approval tied to exact plan/version,ABSENT,HIGH,"No approval in CLI-v2 project plan","Domain tests fail collection","No approval operation exists","Stale approval risk","Sign plan digest, source and engine lock",P0
PB-08,Plan,Source change invalidates apply,IMPLEMENTED,HIGH,"cmd_run_execute SHA-256 recheck","CLI-v2 test","Mutated source blocked exit 4","Only first asset supported","Retain and generalize per asset",P1
PB-09,Plan,Engine change invalidates apply,ABSENT,HIGH,"No engine_version in serialized plan","No test","Plan field list proves absence","Unreviewed DSP drift","Record adapter/binary versions and capability digest",P0
PB-10,Plan,Reject state supported,ABSENT,HIGH,"No CLI-v2 rejection command/status","No test","No command available","Human cannot record refusal","Add reject/return decisions",P1
PB-11,Plan,Safe retry/rollback,PARTIAL,HIGH,"OUTPUT_EXISTS guard only","No rollback test","Same path blocked; new path duplicates run","Duplicate cases and orphan artifacts","Idempotency key, staging, rollback state",P1
EV-01,Evidence,Source and output SHA-256,IMPLEMENTED,HIGH,"asset import and RenderEvidence","CLI-v2 tests","Both hashes observed","Evidence not linked to approval","Retain in manifest",P1
EV-02,Evidence,Exact plan and parameters included,PARTIAL,HIGH,"plan stored in project.json, render evidence separate","No linkage-integrity test","Evidence JSON lacks plan/digest","Evidence can drift from plan","Self-contained signed manifest",P0
EV-03,Evidence,Engine/Moodify/environment versions,ABSENT,HIGH,"render evidence engine=native only","No test","Installed package reports 0.1.0 while pyproject declares 2.0.0","Reproduction impossible","Record real build and all dependency versions",P1
