capability,status,endpoint_or_service,auth,verified_evidence,client_safe,notes
Create Preparation Request,UNKNOWN,,,,,
Upload Source,UNKNOWN,,,,,
Object Storage,UNKNOWN,,,,,
Preparation ID,UNKNOWN,,,,,
Queued Status,UNKNOWN,,,,,
Preparing Status,UNKNOWN,,,,,
Ready Status,UNKNOWN,,,,,
Failed Status,UNKNOWN,,,,,
Cancel Preparation,UNKNOWN,,,,,
Prepared Asset ID,UNKNOWN,,,,,
Prepared Playable URL,UNKNOWN,,,,,
Signed Upload URL,UNKNOWN,,,,,
Signed Playback URL,UNKNOWN,,,,,
Idempotency Key,UNKNOWN,,,,,
Retry Semantics,UNKNOWN,,,,,
Status Polling,UNKNOWN,,,,,
Authentication,UNKNOWN,,,,,
Authorization,UNKNOWN,,,,,
Expiration/Refresh,UNKNOWN,,,,,
