id,command,scenario,expected,severity,status,evidence
Q001,materialize,playlist ordered items,queue same order,P0,TODO,
Q002,materialize,selected playlist track,cursor points selected,P1,TODO,
Q003,play_now,queue active,current track switches deterministically,P0,TODO,
Q004,play_next,current exists,insert after current,P0,TODO,
Q005,play_next,no current,new item becomes current/first,P1,TODO,
Q006,append,one track,add to tail,P0,TODO,
Q007,append,batch tracks,preserve input order,P1,TODO,
Q008,duplicate,same track twice,policy deterministic,P1,TODO,
Q009,next,normal,advance one item,P0,TODO,
Q010,next,last item,ended/final policy,P1,TODO,
Q011,previous,normal,defined previous behavior,P1,TODO,
Q012,remove,future item,item removed no playlist change,P0,TODO,
Q013,remove,current item,current policy stable,P1,TODO,
Q014,reorder,future items,new order used,P0,TODO,
Q015,reorder,current item,current playback unchanged,P1,TODO,
Q016,clear,active queue,clear policy stable,P1,TODO,
Q017,ended,normal,advance once,P0,TODO,
Q018,ended,duplicate event,no double advance,P0,TODO,
Q019,error,bad current,safe bounded skip,P0,TODO,
Q020,error,no next,stable ERROR state,P1,TODO,
Q021,race,play-next during loading,queue coherent,P1,TODO,
Q022,race,reorder during playback,queue coherent,P1,TODO,
Q023,race,remove current during ended,no corruption,P1,TODO,
Q024,safety,queue remove,playlist unchanged,P0,TODO,
Q025,safety,queue reorder,playlist unchanged,P0,TODO,
Q026,safety,queue clear,library unchanged,P0,TODO,
Q027,safety,all queue actions,original files untouched,P0,TODO,
