requirement_id,claim_id,chapter,categories,component_candidates,source_path,implementation_status,verification_status
REQ-00001,EAR1-C01-0002,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00002,EAR1-C01-0005,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00003,EAR1-C01-0010,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00004,EAR1-C01-0012,1,evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00005,EAR1-C01-0015,1,measurement,COMP-001,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00006,EAR1-C01-0019,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00007,EAR1-C01-0021,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00008,EAR1-C01-0022,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00009,EAR1-C01-0024,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00010,EAR1-C01-0025,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00011,EAR1-C01-0031,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00012,EAR1-C01-0033,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00013,EAR1-C01-0034,1,measurement;evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00014,EAR1-C01-0035,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00015,EAR1-C01-0037,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00016,EAR1-C01-0041,1,measurement;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00017,EAR1-C01-0047,1,evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00018,EAR1-C01-0048,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00019,EAR1-C01-0050,1,evidence;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00020,EAR1-C01-0051,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00021,EAR1-C01-0054,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00022,EAR1-C01-0055,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00023,EAR1-C01-0074,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00024,EAR1-C01-0075,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00025,EAR1-C01-0076,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00026,EAR1-C01-0077,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00027,EAR1-C01-0078,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00028,EAR1-C01-0079,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00029,EAR1-C01-0082,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00030,EAR1-C01-0091,1,evidence;failure_recovery,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00031,EAR1-C01-0092,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00032,EAR1-C01-0093,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00033,EAR1-C01-0094,1,failure_recovery,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00034,EAR1-C01-0096,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00035,EAR1-C01-0098,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00036,EAR1-C01-0101,1,evidence;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00037,EAR1-C01-0104,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00038,EAR1-C01-0108,1,evidence;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00039,EAR1-C01-0109,1,evidence;verification;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00040,EAR1-C01-0112,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00041,EAR1-C01-0113,1,evidence;failure_recovery,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00042,EAR1-C01-0115,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00043,EAR1-C01-0120,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00044,EAR1-C01-0122,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00045,EAR1-C01-0125,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00046,EAR1-C01-0127,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00047,EAR1-C01-0129,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00048,EAR1-C01-0133,1,evidence;verification;failure_recovery;human_authority,COMP-003,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00049,EAR1-C01-0136,1,failure_recovery,COMP-008;COMP-009,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00050,EAR1-C01-0137,1,verification,COMP-010,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00051,EAR1-C01-0138,1,verification,COMP-012,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00052,EAR1-C01-0140,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00053,EAR1-C01-0142,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00054,EAR1-C01-0144,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00055,EAR1-C01-0145,1,verification;failure_recovery,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00056,EAR1-C01-0146,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00057,EAR1-C01-0148,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00058,EAR1-C01-0150,1,evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00059,EAR1-C01-0151,1,measurement;evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00060,EAR1-C01-0155,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00061,EAR1-C01-0156,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00062,EAR1-C01-0157,1,measurement;evidence;verification,COMP-001;COMP-004,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00063,EAR1-C01-0158,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00064,EAR1-C01-0161,1,evidence;human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00065,EAR1-C01-0162,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00066,EAR1-C01-0163,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00067,EAR1-C01-0168,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00068,EAR1-C01-0170,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00069,EAR1-C01-0173,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00070,EAR1-C01-0175,1,evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00071,EAR1-C01-0176,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00072,EAR1-C01-0178,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00073,EAR1-C01-0179,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00074,EAR1-C01-0180,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00075,EAR1-C01-0181,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00076,EAR1-C01-0182,1,measurement;evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00077,EAR1-C01-0183,1,verification,COMP-012,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00078,EAR1-C01-0186,1,evidence,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00079,EAR1-C01-0187,1,measurement;evidence;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00080,EAR1-C01-0189,1,evidence,COMP-002,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00081,EAR1-C01-0190,1,measurement;evidence,COMP-006,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00082,EAR1-C01-0191,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00083,EAR1-C01-0196,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00084,EAR1-C01-0199,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00085,EAR1-C01-0202,1,measurement,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00086,EAR1-C01-0203,1,measurement;verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00087,EAR1-C01-0205,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00088,EAR1-C01-0212,1,human_authority,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00089,EAR1-C01-0225,1,verification,,Moodify_Ear_v1_Chapter_01.pdf,UNMAPPED,UNVERIFIED
REQ-00090,EAR1-C02-0007,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00091,EAR1-C02-0008,2,verification;human_authority,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00092,EAR1-C02-0013,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00093,EAR1-C02-0021,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00094,EAR1-C02-0023,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00095,EAR1-C02-0025,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00096,EAR1-C02-0027,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00097,EAR1-C02-0028,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00098,EAR1-C02-0029,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00099,EAR1-C02-0030,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00100,EAR1-C02-0031,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00101,EAR1-C02-0032,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00102,EAR1-C02-0036,2,evidence,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00103,EAR1-C02-0037,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
REQ-00104,EAR1-C02-0038,2,measurement,,Moodify_Ear_v1_Chapter_02_Package/Moodify_Ear_v1_Chapter_02/Moodify_Ear_v1_Chapter_02.md,UNMAPPED,UNVERIFIED
